experiment,tank,date,taxon,individual,length_mm
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,1,0
NEON_mesocosm_2022,1,2022-06-30,Odonata,2,0
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,3,0.01
NEON_mesocosm_2022,1,2022-06-30,Odonata,4,0.01
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,5,0.01
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,6,0.02
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,7,0.02
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,8,0.02
NEON_mesocosm_2022,1,2022-06-30,Odonata,9,0.02
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,10,0.03
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,11,0.03
NEON_mesocosm_2022,1,2022-06-30,Odonata,12,0.03
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,13,0.04
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,14,0.04
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,15,0.04
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,16,0.05
NEON_mesocosm_2022,1,2022-06-30,Odonata,17,0.05
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,18,0.05
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,19,0.07
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,20,0.07
NEON_mesocosm_2022,1,2022-06-30,Odonata,21,0.07
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,22,0.07
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,23,0.08
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,24,0.09
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,25,0.09
NEON_mesocosm_2022,1,2022-06-30,Odonata,26,0.09
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,27,0.09
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,28,0.09
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,29,0.1
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,30,0.1
NEON_mesocosm_2022,1,2022-06-30,Odonata,31,0.1
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,32,0.11
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,33,0.13
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,34,0.13
NEON_mesocosm_2022,1,2022-06-30,Odonata,35,0.14
NEON_mesocosm_2022,1,2022-06-30,Odonata,36,0.14
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,37,0.14
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,38,0.15
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,39,0.16
NEON_mesocosm_2022,1,2022-06-30,Odonata,40,0.17
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,41,0.17
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,42,0.18
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,43,0.19
NEON_mesocosm_2022,1,2022-06-30,Odonata,44,0.19
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,45,0.19
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,46,0.22
NEON_mesocosm_2022,1,2022-06-30,Odonata,47,0.22
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,48,0.25
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,49,0.27
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,50,0.28
NEON_mesocosm_2022,1,2022-06-30,Odonata,51,0.28
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,52,0.28
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,53,0.28
NEON_mesocosm_2022,1,2022-06-30,Odonata,54,0.29
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,55,0.29
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,56,0.32
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,57,0.33
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,58,0.34
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,59,0.35
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,60,0.37
NEON_mesocosm_2022,1,2022-06-30,Odonata,61,0.37
NEON_mesocosm_2022,1,2022-06-30,Odonata,62,0.38
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,63,0.4
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,64,0.41
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,65,0.42
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,66,0.43
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,67,0.45
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,68,0.46
NEON_mesocosm_2022,1,2022-06-30,Odonata,69,0.49
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,70,0.5
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,71,0.54
NEON_mesocosm_2022,1,2022-06-30,Odonata,72,0.57
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,73,0.6
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,74,0.62
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,75,0.64
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,76,0.69
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,77,0.84
NEON_mesocosm_2022,1,2022-06-30,Odonata,78,1.04
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,79,1.08
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,80,1.23
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,81,0.01
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,82,0.01
NEON_mesocosm_2022,2,2022-06-30,Odonata,83,0.01
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,84,0.02
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,85,0.02
NEON_mesocosm_2022,2,2022-06-30,Odonata,86,0.02
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,87,0.02
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,88,0.02
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,89,0.02
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,90,0.03
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,91,0.03
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,92,0.04
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,93,0.04
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,94,0.06
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,95,0.06
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,96,0.07
NEON_mesocosm_2022,2,2022-06-30,Odonata,97,0.07
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,98,0.07
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,99,0.08
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,100,0.08
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,101,0.08
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,102,0.08
NEON_mesocosm_2022,2,2022-06-30,Odonata,103,0.08
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,104,0.08
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,105,0.08
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,106,0.1
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,107,0.1
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,108,0.11
NEON_mesocosm_2022,2,2022-06-30,Odonata,109,0.11
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,110,0.12
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,111,0.13
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,112,0.13
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,113,0.14
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,114,0.14
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,115,0.14
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,116,0.14
NEON_mesocosm_2022,2,2022-06-30,Odonata,117,0.16
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,118,0.16
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,119,0.17
NEON_mesocosm_2022,2,2022-06-30,Odonata,120,0.19
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,121,0.2
NEON_mesocosm_2022,2,2022-06-30,Odonata,122,0.2
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,123,0.2
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,124,0.2
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,125,0.21
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,126,0.22
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,127,0.22
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,128,0.22
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,129,0.23
NEON_mesocosm_2022,2,2022-06-30,Odonata,130,0.23
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,131,0.23
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,132,0.23
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,133,0.24
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,134,0.26
NEON_mesocosm_2022,2,2022-06-30,Odonata,135,0.27
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,136,0.27
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,137,0.27
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,138,0.28
NEON_mesocosm_2022,2,2022-06-30,Odonata,139,0.29
NEON_mesocosm_2022,2,2022-06-30,Odonata,140,0.29
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,141,0.32
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,142,0.32
NEON_mesocosm_2022,2,2022-06-30,Odonata,143,0.33
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,144,0.33
NEON_mesocosm_2022,2,2022-06-30,Odonata,145,0.36
NEON_mesocosm_2022,2,2022-06-30,Odonata,146,0.36
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,147,0.37
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,148,0.37
NEON_mesocosm_2022,2,2022-06-30,Odonata,149,0.38
NEON_mesocosm_2022,2,2022-06-30,Odonata,150,0.39
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,151,0.47
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,152,0.49
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,153,0.52
NEON_mesocosm_2022,2,2022-06-30,Odonata,154,0.52
NEON_mesocosm_2022,2,2022-06-30,Coleoptera,155,0.57
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,156,0.59
NEON_mesocosm_2022,2,2022-06-30,Ephemeroptera,157,0.62
NEON_mesocosm_2022,2,2022-06-30,Chironomidae,158,0.63
NEON_mesocosm_2022,2,2022-06-30,Odonata,159,0.64
NEON_mesocosm_2022,2,2022-06-30,Odonata,160,0.72
NEON_mesocosm_2022,3,2022-06-30,Odonata,161,0
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,162,0.01
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,163,0.01
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,164,0.02
NEON_mesocosm_2022,3,2022-06-30,Odonata,165,0.02
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,166,0.02
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,167,0.03
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,168,0.03
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,169,0.03
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,170,0.03
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,171,0.04
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,172,0.04
NEON_mesocosm_2022,3,2022-06-30,Odonata,173,0.04
NEON_mesocosm_2022,3,2022-06-30,Odonata,174,0.05
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,175,0.05
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,176,0.05
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,177,0.06
NEON_mesocosm_2022,3,2022-06-30,Odonata,178,0.06
NEON_mesocosm_2022,3,2022-06-30,Odonata,179,0.06
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,180,0.07
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,181,0.07
NEON_mesocosm_2022,3,2022-06-30,Odonata,182,0.07
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,183,0.08
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,184,0.09
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,185,0.09
NEON_mesocosm_2022,3,2022-06-30,Odonata,186,0.1
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,187,0.11
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,188,0.11
NEON_mesocosm_2022,3,2022-06-30,Odonata,189,0.11
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,190,0.12
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,191,0.12
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,192,0.12
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,193,0.12
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,194,0.13
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,195,0.13
NEON_mesocosm_2022,3,2022-06-30,Odonata,196,0.13
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,197,0.14
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,198,0.15
NEON_mesocosm_2022,3,2022-06-30,Odonata,199,0.15
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,200,0.16
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,201,0.18
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,202,0.18
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,203,0.19
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,204,0.2
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,205,0.2
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,206,0.2
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,207,0.2
NEON_mesocosm_2022,3,2022-06-30,Odonata,208,0.23
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,209,0.24
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,210,0.25
NEON_mesocosm_2022,3,2022-06-30,Odonata,211,0.28
NEON_mesocosm_2022,3,2022-06-30,Odonata,212,0.28
NEON_mesocosm_2022,3,2022-06-30,Odonata,213,0.29
NEON_mesocosm_2022,3,2022-06-30,Odonata,214,0.3
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,215,0.3
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,216,0.3
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,217,0.31
NEON_mesocosm_2022,3,2022-06-30,Odonata,218,0.33
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,219,0.35
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,220,0.35
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,221,0.37
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,222,0.4
NEON_mesocosm_2022,3,2022-06-30,Odonata,223,0.4
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,224,0.4
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,225,0.4
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,226,0.43
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,227,0.45
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,228,0.49
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,229,0.55
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,230,0.55
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,231,0.56
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,232,0.59
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,233,0.62
NEON_mesocosm_2022,3,2022-06-30,Odonata,234,0.68
NEON_mesocosm_2022,3,2022-06-30,Ephemeroptera,235,0.77
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,236,0.84
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,237,0.95
NEON_mesocosm_2022,3,2022-06-30,Odonata,238,1.11
NEON_mesocosm_2022,3,2022-06-30,Coleoptera,239,1.18
NEON_mesocosm_2022,3,2022-06-30,Chironomidae,240,1.41
