tank,date_time,o2_do_mg_l,temp_deg_c
24,2022-06-21T19:47:00Z,7.5,NA
1,2022-06-22T06:15:00Z,6.3,NA
2,2022-06-22T06:15:00Z,1.4,NA
3,2022-06-22T06:15:00Z,2.4,NA
4,2022-06-22T06:15:00Z,2,NA
5,2022-06-22T06:15:00Z,1.7,NA
6,2022-06-22T06:15:00Z,5.2,NA
7,2022-06-22T06:15:00Z,2,NA
8,2022-06-22T06:15:00Z,3.3,NA
9,2022-06-22T06:15:00Z,4.3,NA
10,2022-06-22T06:15:00Z,1.3,NA
11,2022-06-22T06:15:00Z,3.4,NA
12,2022-06-22T06:15:00Z,4.4,NA
13,2022-06-22T06:15:00Z,3.25,NA
14,2022-06-22T06:15:00Z,3.7,NA
15,2022-06-22T06:15:00Z,2.8,NA
16,2022-06-22T06:15:00Z,1.7,NA
17,2022-06-22T06:15:00Z,3.6,NA
18,2022-06-22T06:15:00Z,3.6,NA
19,2022-06-22T06:15:00Z,5.2,NA
20,2022-06-22T06:15:00Z,2.8,NA
21,2022-06-22T06:15:00Z,5.1,NA
22,2022-06-22T06:15:00Z,1.9,NA
23,2022-06-22T06:15:00Z,5.3,NA
24,2022-06-22T06:15:00Z,5.1,NA
1,2022-06-22T07:30:00Z,6.5,NA
2,2022-06-22T07:30:00Z,1.8,NA
3,2022-06-22T07:30:00Z,2.7,NA
4,2022-06-22T07:30:00Z,2.4,NA
5,2022-06-22T07:30:00Z,2.2,NA
6,2022-06-22T07:30:00Z,4.2,NA
7,2022-06-22T07:30:00Z,2.2,NA
8,2022-06-22T07:30:00Z,3.6,NA
9,2022-06-22T07:30:00Z,4.7,NA
10,2022-06-22T07:30:00Z,1.5,NA
11,2022-06-22T07:30:00Z,3.8,NA
12,2022-06-22T07:30:00Z,4.7,NA
13,2022-06-22T07:30:00Z,3.5,NA
14,2022-06-22T07:30:00Z,4,NA
15,2022-06-22T07:30:00Z,3.8,NA
16,2022-06-22T07:30:00Z,2.7,NA
17,2022-06-22T07:30:00Z,4.1,NA
18,2022-06-22T07:30:00Z,3.9,NA
19,2022-06-22T07:30:00Z,6.1,NA
20,2022-06-22T07:30:00Z,2.3,NA
21,2022-06-22T07:30:00Z,5.1,NA
22,2022-06-22T07:30:00Z,2.3,NA
23,2022-06-22T07:30:00Z,6,NA
24,2022-06-22T07:30:00Z,5.9,NA
1,2022-06-22T11:00:00Z,10.28,20.333333333333332
2,2022-06-22T11:00:00Z,4.56,27.11111111111111
3,2022-06-22T11:00:00Z,5.3,23.333333333333336
4,2022-06-22T11:00:00Z,6.9,31.111111111111114
5,2022-06-22T11:00:00Z,7.5,24.88888888888889
6,2022-06-22T11:00:00Z,5.5,29.777777777777775
7,2022-06-22T11:00:00Z,6,23.88888888888889
8,2022-06-22T11:00:00Z,6.8,28.444444444444446
9,2022-06-22T11:00:00Z,7.7,24.055555555555554
10,2022-06-22T11:00:00Z,5.5,29.333333333333332
11,2022-06-22T11:00:00Z,6.8,21.944444444444446
12,2022-06-22T11:00:00Z,6.6,29.111111111111114
13,2022-06-22T11:00:00Z,6.5,20.777777777777782
14,2022-06-22T11:00:00Z,8.2,25.500000000000004
15,2022-06-22T11:00:00Z,8,24.499999999999996
16,2022-06-22T11:00:00Z,6.1,31.500000000000004
17,2022-06-22T11:00:00Z,8.2,23.83333333333334
18,2022-06-22T11:00:00Z,6,25.444444444444443
19,2022-06-22T11:00:00Z,8.9,23.666666666666664
20,2022-06-22T11:00:00Z,4.5,30.111111111111114
21,2022-06-22T11:00:00Z,7.6,24.777777777777775
22,2022-06-22T11:00:00Z,8.7,30
23,2022-06-22T11:00:00Z,8.6,23.83333333333334
24,2022-06-22T11:00:00Z,7,29.333333333333332
1,2022-06-21T11:00:00Z,8.6,22.5
2,2022-06-21T11:00:00Z,6.3,26.33333333333334
3,2022-06-21T11:00:00Z,5.5,23.11111111111111
4,2022-06-21T11:00:00Z,4.8,26.888888888888893
5,2022-06-21T11:00:00Z,5.6,25.388888888888893
6,2022-06-21T11:00:00Z,3.6,27.222222222222225
7,2022-06-21T11:00:00Z,5.8,24.61111111111111
8,2022-06-21T11:00:00Z,8,25.777777777777782
9,2022-06-21T11:00:00Z,7.8,24.88888888888889
10,2022-06-21T11:00:00Z,8.3,27.277777777777775
11,2022-06-21T11:00:00Z,7.4,24.61111111111111
12,2022-06-21T11:00:00Z,8.8,29.88888888888889
13,2022-06-21T11:00:00Z,7.3,24.777777777777775
14,2022-06-21T11:00:00Z,9.2,26.05555555555556
15,2022-06-21T11:00:00Z,8.4,24.722222222222225
16,2022-06-21T11:00:00Z,12.3,30.055555555555554
17,2022-06-21T11:00:00Z,10.9,24.388888888888893
18,2022-06-21T11:00:00Z,8,25.72222222222222
19,2022-06-21T11:00:00Z,12.1,23.666666666666664
20,2022-06-21T11:00:00Z,8.4,27.611111111111114
21,2022-06-21T11:00:00Z,10.5,24.722222222222225
22,2022-06-21T11:00:00Z,11.6,29.000000000000004
23,2022-06-21T11:00:00Z,10.8,23.944444444444443
24,2022-06-21T11:00:00Z,11.6,27.16666666666667
1,2022-06-27T05:31:00Z,4.6,NA
2,2022-06-27T05:31:00Z,3.9,NA
3,2022-06-27T05:31:00Z,4.5,NA
4,2022-06-27T05:31:00Z,1.9,NA
5,2022-06-27T05:31:00Z,1.8,NA
6,2022-06-27T05:31:00Z,1.72,NA
7,2022-06-27T05:31:00Z,1.8,NA
8,2022-06-27T05:31:00Z,3.7,NA
9,2022-06-27T05:31:00Z,5.6,NA
10,2022-06-27T05:31:00Z,1.3,NA
11,2022-06-27T05:31:00Z,5.2,NA
12,2022-06-27T05:31:00Z,5.1,NA
13,2022-06-27T05:31:00Z,4.8,NA
14,2022-06-27T05:31:00Z,4.9,NA
15,2022-06-27T05:31:00Z,6.4,NA
16,2022-06-27T05:31:00Z,2.2,NA
17,2022-06-27T05:31:00Z,3.9,NA
18,2022-06-27T05:31:00Z,4.7,NA
19,2022-06-27T05:31:00Z,5.7,NA
20,2022-06-27T05:31:00Z,2.4,NA
21,2022-06-27T05:31:00Z,5.3,NA
22,2022-06-27T05:31:00Z,6,NA
23,2022-06-27T05:31:00Z,6.1,NA
24,2022-06-27T05:31:00Z,4.5,NA
1,2022-06-27T06:30:00Z,4.7,NA
2,2022-06-27T06:30:00Z,3.8,NA
3,2022-06-27T06:30:00Z,4.1,NA
4,2022-06-27T06:30:00Z,1.6,NA
5,2022-06-27T06:30:00Z,1.6,NA
6,2022-06-27T06:30:00Z,1.6,NA
7,2022-06-27T06:30:00Z,1.8,NA
8,2022-06-27T06:30:00Z,4.2,NA
9,2022-06-27T06:30:00Z,5.7,NA
10,2022-06-27T06:30:00Z,0.3,NA
11,2022-06-27T06:30:00Z,5,NA
12,2022-06-27T06:30:00Z,5.5,NA
13,2022-06-27T06:30:00Z,4.6,NA
14,2022-06-27T06:30:00Z,4.9,NA
15,2022-06-27T06:30:00Z,6.9,NA
16,2022-06-27T06:30:00Z,2.2,NA
17,2022-06-27T06:30:00Z,4,NA
18,2022-06-27T06:30:00Z,4.8,NA
19,2022-06-27T06:30:00Z,6,NA
20,2022-06-27T06:30:00Z,2.3,NA
21,2022-06-27T06:30:00Z,5.4,NA
22,2022-06-27T06:30:00Z,6.1,NA
23,2022-06-27T06:30:00Z,6.3,NA
24,2022-06-27T06:30:00Z,4.7,NA
1,2022-06-27T07:56:00Z,5.4,NA
2,2022-06-27T07:56:00Z,4.4,NA
3,2022-06-27T07:56:00Z,4.8,NA
4,2022-06-27T07:56:00Z,1.9,NA
5,2022-06-27T07:56:00Z,2.3,NA
6,2022-06-27T07:56:00Z,2.3,NA
7,2022-06-27T07:56:00Z,2.2,NA
8,2022-06-27T07:56:00Z,5.1,NA
9,2022-06-27T07:56:00Z,6.8,NA
10,2022-06-27T07:56:00Z,2,NA
11,2022-06-27T07:56:00Z,6,NA
12,2022-06-27T07:56:00Z,6.2,NA
13,2022-06-27T07:56:00Z,5.2,NA
14,2022-06-27T07:56:00Z,5.8,NA
15,2022-06-27T07:56:00Z,7.7,NA
16,2022-06-27T07:56:00Z,2.5,NA
17,2022-06-27T07:56:00Z,4.7,NA
18,2022-06-27T07:56:00Z,5.5,NA
19,2022-06-27T07:56:00Z,7.2,NA
20,2022-06-27T07:56:00Z,3.1,NA
21,2022-06-27T07:56:00Z,6,NA
22,2022-06-27T07:56:00Z,6.9,NA
23,2022-06-27T07:56:00Z,7.2,NA
24,2022-06-27T07:56:00Z,5.8,NA
1,2022-06-27T11:00:00Z,9.1,NA
2,2022-06-27T11:00:00Z,6.4,NA
3,2022-06-27T11:00:00Z,7.8,NA
4,2022-06-27T11:00:00Z,5.2,NA
5,2022-06-27T11:00:00Z,7.4,NA
6,2022-06-27T11:00:00Z,6.8,NA
7,2022-06-27T11:00:00Z,5.3,NA
8,2022-06-27T11:00:00Z,7.3,NA
9,2022-06-27T11:00:00Z,9.8,NA
10,2022-06-27T11:00:00Z,6.9,NA
11,2022-06-27T11:00:00Z,10.5,NA
12,2022-06-27T11:00:00Z,8,NA
13,2022-06-27T11:00:00Z,7.6,NA
14,2022-06-27T11:00:00Z,8.2,NA
15,2022-06-27T11:00:00Z,10.1,NA
16,2022-06-27T11:00:00Z,4.9,NA
17,2022-06-27T11:00:00Z,7.2,NA
18,2022-06-27T11:00:00Z,8.2,NA
19,2022-06-27T11:00:00Z,9.9,NA
20,2022-06-27T11:00:00Z,8.2,NA
21,2022-06-27T11:00:00Z,8.3,NA
22,2022-06-27T11:00:00Z,8.8,NA
23,2022-06-27T11:00:00Z,10,NA
24,2022-06-27T11:00:00Z,10.4,NA
1,2022-06-27T14:30:00Z,14.1,NA
2,2022-06-27T14:30:00Z,9.2,NA
3,2022-06-27T14:30:00Z,11.8,NA
4,2022-06-27T14:30:00Z,9.4,NA
5,2022-06-27T14:30:00Z,15.4,NA
6,2022-06-27T14:30:00Z,13.7,NA
7,2022-06-27T14:30:00Z,11.8,NA
8,2022-06-27T14:30:00Z,10.5,NA
9,2022-06-27T14:30:00Z,13.9,NA
10,2022-06-27T14:30:00Z,15.1,NA
11,2022-06-27T14:30:00Z,17.3,NA
12,2022-06-27T14:30:00Z,9.8,NA
13,2022-06-27T14:30:00Z,12.3,NA
14,2022-06-27T14:30:00Z,11.3,NA
15,2022-06-27T14:30:00Z,12.2,NA
16,2022-06-27T14:30:00Z,8.6,NA
17,2022-06-27T14:30:00Z,10.3,NA
18,2022-06-27T14:30:00Z,11.2,NA
19,2022-06-27T14:30:00Z,13.9,NA
20,2022-06-27T14:30:00Z,16.3,NA
21,2022-06-27T14:30:00Z,11.8,NA
22,2022-06-27T14:30:00Z,13.4,NA
23,2022-06-27T14:30:00Z,12.8,NA
24,2022-06-27T14:30:00Z,13.1,NA
1,2022-06-27T15:45:00Z,14.8,NA
2,2022-06-27T15:45:00Z,8.7,NA
3,2022-06-27T15:45:00Z,13.3,NA
4,2022-06-27T15:45:00Z,9.8,NA
5,2022-06-27T15:45:00Z,14.5,NA
6,2022-06-27T15:45:00Z,14.5,NA
7,2022-06-27T15:45:00Z,12.4,NA
8,2022-06-27T15:45:00Z,9.5,NA
9,2022-06-27T15:45:00Z,13.7,NA
10,2022-06-27T15:45:00Z,15.5,NA
11,2022-06-27T15:45:00Z,18.4,NA
12,2022-06-27T15:45:00Z,9.7,NA
13,2022-06-27T15:45:00Z,12.3,NA
14,2022-06-27T15:45:00Z,9.8,NA
15,2022-06-27T15:45:00Z,11.8,NA
16,2022-06-27T15:45:00Z,8.3,NA
17,2022-06-27T15:45:00Z,10.3,NA
18,2022-06-27T15:45:00Z,11.3,NA
19,2022-06-27T15:45:00Z,13.7,NA
20,2022-06-27T15:45:00Z,16.4,NA
21,2022-06-27T15:45:00Z,11.6,NA
22,2022-06-27T15:45:00Z,12.4,NA
23,2022-06-27T15:45:00Z,12.5,NA
24,2022-06-27T15:45:00Z,11.1,NA
1,2022-06-27T17:37:00Z,12.8,NA
2,2022-06-27T17:37:00Z,7.5,NA
3,2022-06-27T17:37:00Z,12.5,NA
4,2022-06-27T17:37:00Z,11.5,NA
5,2022-06-27T17:37:00Z,12.2,NA
6,2022-06-27T17:37:00Z,12.9,NA
7,2022-06-27T17:37:00Z,11.9,NA
8,2022-06-27T17:37:00Z,8.1,NA
9,2022-06-27T17:37:00Z,12.7,NA
10,2022-06-27T17:37:00Z,13.8,NA
11,2022-06-27T17:37:00Z,16,NA
12,2022-06-27T17:37:00Z,8.6,NA
13,2022-06-27T17:37:00Z,11.3,NA
14,2022-06-27T17:37:00Z,8.9,NA
15,2022-06-27T17:37:00Z,9.5,NA
16,2022-06-27T17:37:00Z,7.3,NA
17,2022-06-27T17:37:00Z,8.5,NA
18,2022-06-27T17:37:00Z,9.1,NA
19,2022-06-27T17:37:00Z,12.2,NA
20,2022-06-27T17:37:00Z,14.9,NA
21,2022-06-27T17:37:00Z,10.3,NA
22,2022-06-27T17:37:00Z,10.8,NA
23,2022-06-27T17:37:00Z,10.8,NA
24,2022-06-27T17:37:00Z,10,NA
1,2022-06-28T05:30:00Z,4.4,NA
2,2022-06-28T05:30:00Z,0.5,NA
3,2022-06-28T05:30:00Z,1.7,NA
4,2022-06-28T05:30:00Z,0.7,NA
5,2022-06-28T05:30:00Z,0.7,NA
6,2022-06-28T05:30:00Z,6,NA
7,2022-06-28T05:30:00Z,1.5,NA
8,2022-06-28T05:30:00Z,5.1,NA
9,2022-06-28T05:30:00Z,4.4,NA
10,2022-06-28T05:30:00Z,1.2,NA
11,2022-06-28T05:30:00Z,6,NA
12,2022-06-28T05:30:00Z,5.9,NA
13,2022-06-28T05:30:00Z,4.4,NA
14,2022-06-28T05:30:00Z,5.4,NA
15,2022-06-28T05:30:00Z,6.7,NA
16,2022-06-28T05:30:00Z,2.3,NA
17,2022-06-28T05:30:00Z,3.7,NA
18,2022-06-28T05:30:00Z,4.9,NA
19,2022-06-28T05:30:00Z,6,NA
20,2022-06-28T05:30:00Z,3.3,NA
21,2022-06-28T05:30:00Z,5,NA
22,2022-06-28T05:30:00Z,4.7,NA
23,2022-06-28T05:30:00Z,6.3,NA
24,2022-06-28T05:30:00Z,6.9,NA
1,2022-06-28T06:45:00Z,5,NA
2,2022-06-28T06:45:00Z,1.5,NA
3,2022-06-28T06:45:00Z,1.5,NA
4,2022-06-28T06:45:00Z,0.7,NA
5,2022-06-28T06:45:00Z,0.7,NA
6,2022-06-28T06:45:00Z,6.3,NA
7,2022-06-28T06:45:00Z,1.7,NA
8,2022-06-28T06:45:00Z,5.5,NA
9,2022-06-28T06:45:00Z,4.7,NA
10,2022-06-28T06:45:00Z,1.3,NA
11,2022-06-28T06:45:00Z,6.3,NA
12,2022-06-28T06:45:00Z,6.2,NA
13,2022-06-28T06:45:00Z,4.4,NA
14,2022-06-28T06:45:00Z,5.9,NA
15,2022-06-28T06:45:00Z,7.2,NA
16,2022-06-28T06:45:00Z,2.3,NA
17,2022-06-28T06:45:00Z,4,NA
18,2022-06-28T06:45:00Z,5.1,NA
19,2022-06-28T06:45:00Z,6.5,NA
20,2022-06-28T06:45:00Z,3.6,NA
21,2022-06-28T06:45:00Z,5.4,NA
22,2022-06-28T06:45:00Z,5.7,NA
23,2022-06-28T06:45:00Z,7,NA
24,2022-06-28T06:45:00Z,7.3,NA
